trip_distance,trip_duration,hora_del_día,es_fin_de_semana,total_amount
0.9,5.2,22,1,8.8
0.92,9.516666666666667,11,1,9.96
2.1,11.45,18,0,13.3
2.2,10.416666666666666,20,0,13.0
1.55,10.616666666666667,20,0,10.8
2.5,17.8,7,0,16.56
0.77,3.6333333333333333,17,0,7.24
0.7,4.066666666666666,10,0,5.8
1.5,4.983333333333333,7,0,8.75
0.6,6.2,13,1,6.3
1.5,15.633333333333333,11,0,11.8
1.0,6.916666666666667,17,1,9.1
0.8,6.033333333333333,8,0,8.15
3.23,16.566666666666666,0,0,14.3
0.6,8.35,9,0,9.35
1.07,7.333333333333333,10,0,7.8
1.8,24.883333333333333,11,0,20.16
0.94,3.9,12,1,6.67
0.8,7.05,19,0,9.75
1.14,7.033333333333333,15,0,8.8
3.2,12.083333333333334,2,1,15.95
0.5,2.9166666666666665,11,1,4.8
0.45,3.816666666666667,19,0,6.3
0.7,8.033333333333333,17,0,10.55
1.72,21.316666666666666,10,0,18.8
0.36,1.7666666666666666,22,0,5.76
0.4,2.4833333333333334,7,0,4.8
1.46,8.533333333333333,3,1,9.8
4.39,15.233333333333333,11,1,17.3
1.7,11.433333333333334,19,1,9.8
2.1,10.333333333333334,22,1,10.8
2.71,16.983333333333334,18,1,17.16
3.05,25.05,9,0,22.25
1.0,5.016666666666667,0,0,8.84
2.8,12.033333333333333,18,0,13.3
3.7,23.216666666666665,21,1,18.8
0.8,3.8,22,0,7.55
2.0,15.95,11,0,14.75
1.0,6.883333333333334,10,1,7.3
0.7,7.966666666666667,9,0,7.3
1.36,11.733333333333333,16,0,9.8
1.3,5.916666666666667,15,0,6.8
1.3,6.566666666666666,19,1,7.3
1.6,19.916666666666668,9,0,16.55
0.92,12.366666666666667,13,0,11.05
2.26,6.65,3,0,11.76
1.86,8.516666666666667,16,1,9.3
0.91,5.55,14,0,8.16
1.14,7.083333333333333,13,0,8.55
2.4,23.566666666666666,17,0,17.3
2.16,18.233333333333334,14,1,13.8
2.0,18.216666666666665,18,0,15.3
0.84,6.616666666666666,19,0,8.8
1.15,6.45,7,0,8.3
0.8,6.9,19,0,7.3
2.2,13.816666666666666,17,0,14.75
1.1,14.316666666666666,14,0,10.8
2.34,16.933333333333334,16,0,20.25
2.2,14.966666666666667,14,0,14.75
2.65,18.016666666666666,21,0,17.76
0.58,3.1666666666666665,20,0,6.36
1.2,16.383333333333333,11,0,11.8
2.56,7.65,7,0,12.36
1.6,12.55,11,0,10.8
2.74,13.616666666666667,0,0,16.0
2.38,12.283333333333333,20,1,14.3
1.56,9.783333333333333,10,0,9.3
1.7,11.7,20,1,13.5
0.4,4.6,15,0,5.3
0.47,7.45,13,1,6.8
2.45,14.116666666666667,21,0,16.0
1.08,4.583333333333333,7,0,7.3
1.93,12.7,0,1,13.56
0.85,3.8,0,1,7.56
1.5,11.916666666666666,20,0,10.3
2.6,17.616666666666667,18,1,13.8
0.95,6.483333333333333,16,0,8.8
1.26,6.783333333333333,9,1,7.3
0.9,6.85,7,0,7.3
2.03,5.116666666666666,14,1,9.3
2.23,18.466666666666665,8,0,16.56
1.3,7.55,6,0,9.95
1.0,6.333333333333333,11,1,8.4
2.2,20.183333333333334,13,0,14.3
2.7,23.933333333333334,8,0,21.8
2.1,15.133333333333333,15,0,12.3
4.2,22.95,20,0,23.3
3.7,17.2,20,1,18.95
1.3,6.0,5,0,8.8
1.03,22.1,12,0,17.16
1.0,7.066666666666666,15,1,8.4
1.3,12.133333333333333,10,0,11.3
0.89,3.933333333333333,16,0,6.8
0.66,8.216666666666667,15,0,8.76
1.16,5.7,4,1,8.55
1.33,7.483333333333333,10,0,7.8
0.58,2.4166666666666665,18,0,6.96
1.6,11.416666666666666,12,0,11.5
2.46,14.35,16,0,14.8
0.3,1.8,1,1,5.75
1.93,11.983333333333333,21,0,13.56
1.2,8.6,7,0,9.95
1.33,14.516666666666667,19,1,12.3
0.6,3.683333333333333,15,0,6.3
2.11,7.216666666666667,19,1,8.8
4.2,20.083333333333332,14,0,17.8
0.7,8.683333333333334,15,0,7.8
3.1,20.1,9,0,15.8
1.19,4.716666666666667,21,0,7.3
2.23,8.516666666666667,21,0,12.96
0.9,7.283333333333333,14,1,8.8
1.2,7.216666666666667,15,0,9.35
1.0,19.366666666666667,8,0,16.6
0.8,5.6,14,1,7.55
2.3,9.366666666666667,7,0,10.3
0.3,5.583333333333333,16,0,5.8
1.2,14.833333333333334,14,0,11.3
4.65,20.2,18,1,18.8
5.9,12.033333333333333,8,0,23.15
2.02,12.233333333333333,21,0,11.8
0.8,5.116666666666666,23,1,6.8
4.0,22.65,9,0,18.8
0.78,3.933333333333333,21,0,6.3
1.15,8.666666666666666,17,0,9.3
3.61,15.133333333333333,23,0,19.75
1.67,7.95,23,1,9.3
0.44,2.3833333333333333,20,0,6.36
1.3,8.116666666666667,23,1,8.8
1.73,6.883333333333334,0,1,10.56
2.3,20.4,17,1,14.8
4.43,14.966666666666667,12,1,18.96
3.08,16.316666666666666,17,1,16.3
2.39,14.766666666666667,19,0,15.1
0.85,14.366666666666667,17,0,10.8
1.06,16.35,9,0,13.56
5.06,22.6,17,0,21.8
0.0,0.05,22,1,6.8
1.63,11.566666666666666,0,1,10.3
1.1,3.816666666666667,19,1,7.55
1.8,13.683333333333334,10,0,12.95
3.1,21.766666666666666,2,0,17.8
2.0,12.216666666666667,16,0,15.34
1.7,8.05,6,1,12.8
